job_name,company,address,job_tags,salary,job_info,job_link
PHP工程师,北京金泰伦技术服务有限公司,北京市朝阳区时尚大厦,五险一金;年底双薪;餐补;房补;带薪年假;定期体检;员工旅游;节日福利,8千-1.5万/月,"职位描述：1、负责Web网站、App的开发和维护；2、从产品和技术角度，为网站设计提供改进建议；职位要求：1、统招本科以上学历；专业不限，计算机类专业优先；应届生或者1-2年经验；已经毕业并且能尽快入职；基本的英文读写；2、熟练使用PHP/MySQL/Apache/Linux/HTML/CSS，熟悉ThinkPHP者优先；3、具有良好的代码风格，工作细致；4、具有较强的责任感，善于团队合作；5、具有较强的执行力，善于学习和独立解决问题；薪酬福利：1、极具竞争力的薪酬、福利和激励体系：基础工资15000至30000元（具体数字根据技能水平协商决定），每季度发放奖金（以季度工资总额的15%为基数，根据表现上浮），免费工作午餐，每季度至少一次团队活动（不会占用个人休息时间）；2、八小时工作（不加班），双休，法定节假日（元旦、春节、清明、五一、端午、中秋、国庆等）休息，每年年假至少5个工作日；3、严格按照北京市相关规定缴纳五险一金；4、优越的办公环境，居于CBD中央商务核心区；便利的交通，紧邻3条地铁；先进的办公设施，全部新款苹果电脑；配备高级空气净化设备（IQAir）；宽松、人性化的办公氛围；5、快速学习和成长的工作环境以及温文尔雅的领导；公司官网：http://talent-bright.com/
                ",https://m.zhaopin.com//jobs/532562724250000/
PHP开发工程师,北京伊美尔医疗科技集团股份公司,北京市海淀区学院南路15号院7号楼,五险一金;绩效奖金;餐补;定期体检,1万-1.5万/月,"岗位职责：1、负责公司PHP项目的开发及运维。2、负责公司PHP相关项目服务器的例行巡检、数据备份、故障恢复等工作。3、执行主管领导安排的其他相关工作。任职要求：1、大学本科及以上学历；2、4年及以上PHP开发经验；3. 熟练掌握PHP/MySQL开发的相关基础知识。4. 熟练掌握JavaScript及JQuery、Bootstrap等前端开发技术。5. 熟练使用ThinkCMF框架，有ThinkCMF框架项目二次开发经验者优先 6. 熟练使用Linux系统，熟悉apache/Nginx等Web服务器的管理和维护。
                ",https://m.zhaopin.com//jobs/34223841700055061910/
php开发工程师,北京一步两步科技有限公司,清河永泰园甲1号建金中心425-426,五险一金;带薪年假;定期体检,6千-8千/月,,https://m.zhaopin.com//jobs/154691913250056/
PHP程序员,红山石医学研究(北京)有限公司,左家庄中街豪成大厦509,周末双休;带薪年假,6千-8千/月,,https://m.zhaopin.com//jobs/52133232800121570313/
php开发工程师,（浪潮集团）浪潮世科信息技术有限公司LCW,三元桥,周末双休;五险一金;带薪年假;定期体检;员工旅游;节日福利,8千-1万/月,,https://m.zhaopin.com//jobs/00057205200112658910/
PHP开发工程师,北京估品科技有限公司,北京西城区广安门外大街168号朗琴国际B座,五险一金;交通补助;餐补;通讯补贴;带薪年假;弹性工作;员工旅游;节日福利,1万-2万/月,"「关于我们」 精英人群，精致生活！「估品」我们是艺术品权益内容服务平台，致力于引领与推进艺术品产业与鉴定市场规范化、专业化、健康化发展。为国内外藏家和艺术品爱好者提供客观，真实，公正，权威的鉴定服务。「我们希望你来做」1.负责App端接口和运营后台开发；2.根据产品及功能需求，设计相应程序架构并进行代码编写；3.负责数据接口开发和优化，能完成独立自测，保障代码的完整性和稳定性；4.配套管理后台的开发和维护;5.服务器配置及维护；6.保证后端程序的安全稳定运行 服务器环境的监控以及调优；7.解决后端程序运行中发现的漏洞, 运行效率代码改善；8.现有代码分析, 优化, 重构；9.完成上级领导安排的其他事宜。「我们需要这样的你」1. 3年以上IT行业研发工作经验，可独立完成Web应用开发（请在简历中描述你之前的项目成果和相关技术架构）。2. 熟悉Linux下的开发环境, 熟悉服务器配置和开发相关Shell脚本。3. 对LAMP,LNMP等架构有较深入的了解。4. 熟练掌握Mysql操作，了解数据库配置，使用，和优化技术。5. 熟悉HTTP协议及W3C相关互联网规范, 有一定的前端基础，熟悉bootstrap框架。6. 熟练使用CodeIgniter/Yaf/Laravel等开源框架中的一种，或具备自写框架能力。7. 具有很强的学习能力和对新技术的追求精神，能够独立承担项目开发工作，具有比较强的责任心。「我们的福利」1、只要你付出了，每年不限次的晋升加薪机会；2、上班弹性时间，错过上下班高峰期；3、周末双休，较少加班（我们不提倡加班哦）；4、转正后每年一次免费健康体检；5、积极愉快的工作学习氛围 ，定期的分享学习培训；6、定期生日会，每天免费零食、咖啡供应；7、餐补、话补、交通补、办公用品补，只有你想不到的，没有补不到的；「我们的诱惑」1、五险一金；2、地址位置优越，地铁周边；3、公司美女帅哥多多；「你的伙伴」1、一群身怀绝技的小伙伴。琴棋书画各有千秋，美女帅哥各有姿色；2、一个炒鸡nice的老板。上知天文、下知地理、平易近人、犒劳请客，等等，无所不能，我们提供的不只是一个岗位，更想寻找的是志同道合的合作伙伴，去做一些不一样的事情，过程中，我们互相学习、共同成长，闯出一片不一样的天地。一群人，一件事，一辈子！如果你也这么想，就赶快加入我们吧！
                ",https://m.zhaopin.com//jobs/320837582250009/
c++开发工程师,北京友通上昊科技有限公司,北京市经济技术开发区 科创十四街99号 汇龙森科技园 二号楼一层,五险一金;周末双休;员工旅游;带薪年假;交通补助;定期体检;节日福利,1.5万-3万/月,,https://m.zhaopin.com//jobs/20664621100108947914/
PHP开发工程师,北京晋江原创网络科技有限公司,朝阳区北苑路5号黄金苑3号楼101室,五险一金;绩效奖金;交通补助;带薪年假;定期体检;员工旅游,5千-1万/月,"岗位职责：1、负责网站新功能、程序模块的设计和开发;2、定期维护网站程序，处理反馈回来的系统bug;3、网站程序开发文档的编写;4、IOS、Android端提供数据接口的编写;5、完成领导安排的其它工作;应聘要求：1、一年以上PHP网站开发经验,且有实际作品展示或某项网站开发项目     主力成员；2、熟练应用JQuery,SQL语言并有一定的心得和技巧；3、能够熟练掌握Memcache,Redis等缓存技术；4、熟悉HTML,Javascript,CSS,能在脱离可视化编辑器的情况下进行手写；5、有OOP思想，熟悉MVC的开发模式，熟练使用SVN版本控制工具；6、有前瞻性的思维和快速学习掌握新知识的能力,对 Web2.0 新技术     如：CSS+XHTML布局,Ajax 等比较熟悉，有个人博客者优先考虑；7、口齿清晰、思维敏捷，有较好的沟通能力，能够迅速进入工作角色，      拥有出色的团队和合作精神；8、对“极限编程”有一定了解，具有 Linux 操作经验的优先；9、身体健康，不抽烟，无不良嗜好。福利待遇：1、我们将为您提供富有市场竞争力的薪酬计划；2、全额缴纳五险一金；3、带薪年休假；4、集体旅游（每年至少组织一次户外活动）；5、免费体检（每年一次）；6、每月劳保用品补助；7、每月交通补助；8、各项奖励（如评先评优奖金、年终大奖、培训补贴、计划生育礼金、   生日礼金、结婚礼金等）；9、公司可安排住宿；10、丰富的培训项目与团队活动（如户外拓展、项目培训、专题讲座、    不定期郊游、聚餐、卡拉OK、文体活动等）。
                ",https://m.zhaopin.com//jobs/158567316250103/
高级PHP研发工程师,北京智启蓝墨信息技术有限公司,北京市海淀区上地东路35号颐泉汇写字楼516,五险一金;餐补;带薪年假;定期体检;节日福利,1.5万-1.8万/月,,https://m.zhaopin.com//jobs/56245302700114973910/
PHP工程师,北京智启蓝墨信息技术有限公司,北京市海淀区上地东路35号颐泉汇写字楼516,五险一金;餐补;带薪年假;定期体检;节日福利,1万-1.5万/月,"岗位职责：根据公司要求，完成院校产品的开发工作。任职要求：1.本科及以上学历，软件开发或相关专业毕业；2.两年及以上开发相关工作经验；3.英语4级以上；4.了解前端技术，能够编写简单的前端页面；5. 熟练使用 MySQL 数据库；6. 熟悉常用的 PHP 开发框架的一种或多种；7. 对 Linux 系统的使用有基本了解
                ",https://m.zhaopin.com//jobs/56245302700114973810/
PHP服务器研发工程师,北京小步大成科技有限公司,北京市朝阳区北土城东路4号院创富港众创大厦2楼5008,五险一金;绩效奖金;股票期权;带薪年假;弹性工作;周末双休;补充医疗保险,1.5万-2.5万/月,"职位描述：1、参与后台业务逻辑的设计和开发。2、参与后台数据平台的开发。任职资格：1、本科以上学历，计算机相关专业，有扎实的计算机基础。3年及以上服务端开发经验2、熟练掌握PHP+MySQL编程，熟练掌握LAMP/LNMP开发，有数据库设计和调优经验3、熟悉MySQL数据库结构设计，熟悉SQL语句；有数据报表系统的开发经验4、良好的PHP面向对象设计方法和编程思想，具有优良的编码习惯，有电商，社交，在线教育等        领域后台开发经验者优先。5、学习能力强，拥有优秀的逻辑思维能力，有一定的抗压能力
                ",https://m.zhaopin.com//jobs/47865523900107458515/
php高级开发工程师,北京智飞坤舆科技有限公司,海淀区知春路甲48号盈都大厦c座2单元8c,五险一金;年终分红;带薪年假;补充医疗保险;节日福利,2万-4万/月,,https://m.zhaopin.com//jobs/cz834634970j00109273414/
高级PHP开发工程师,北京腾信达科技有限公司,北京市大兴区亦庄科创十二街鸿坤云时代A座6层,绩效奖金;带薪年假;员工旅游;节日福利;不加班,1.5万-2.5万/月,,https://m.zhaopin.com//jobs/14940081500128664711/
"对日软件开发(Java,PHP,.NET）",ビズコネクト株式会社,东京及近郊,创业公司;年底双薪;交通补助;定期体检,1.2万-2.4万/月,"【工作内容】负责本公司客户的软件系统设计以及开发任务【工作地点】东京及近郊【应聘条件】1.本科及本科以上学历；2.熟练掌握JAVA、C/C++、.NET（VB.NET，C#，ASP.NET）、Salesforce、 IOS、PHP、SAP、ABAP、Android等任意一种或多种开发语言和开发技能，3年及以上软件开发经验； 3.有对日开发经验有项目管理经验者优先；          4.日语达到2级以及以上水平，有书面沟通能力，口语能日常交流，技术优秀者日语要求可适当放宽。【福利待遇】1.雇佣形式：正社员2.月薪：22万～55万日元，视能力与经验而定，根据个人业绩的百分比抽成，能力越高抽成百分比越高3.试用期：三个月，月薪与正社员等同4.年终奖：一年1次5.每年有1次加薪机会（视个人表现和考核而定）6.休假：周末双休，带薪年假以及其他日本法定假期；7.交通费补助：上限2万日元8.享有日本各种法定保险年金制度9.公司内部活动等其他福利。【应聘方法】方法一：点击立即申请 方法二：WeChat：enibun2018人事专员：阎【仕事の内容】システム設計・開発やテスト、運用保守等【勤務地】東京及びその周辺地域【勤務時間】9：00～18:00（フレックス勤務制度あり）、昼休み1時間、標準労働時間8時間【応募条件】1.大学を卒業した以上2. JAVA、C/C++、.NET（VB.NET、C#、ASP.NET）、PHP、Salesforce、SAP、IOS、ABAP、Androidなど何れの開発経験3年以上3.日本向けのシステム開発経験またはプロジェクト管理経験がある方優先；4.日本語レベルN2以上、読書能力、日常会話能力が必要。【福利厚生】1.雇用形態：正社員2.月給：22万～55万円 (能力、経験、年齢、前給考慮の上応相談) 3.試用期：約3ヶ月の間(給与は上記と同額) 4.賞与：年1回5.給与改定：年1回（本人の実績による）6.休日・休暇：土・日・祝日、夏季休暇、年末年始、有給休暇7. 交通費：実費精算（上限2万円まで）8.社会保険完備、各種手当、資格取得補助、健康診断、社員表彰制度、報奨金など9.会社の内部研修など【応募方法】１．立即申请のボタンをおしてください。２．WeChat：enibun2018人事担当：閻（エン）
                ",https://m.zhaopin.com//jobs/64592628600243000505/
php开发工程师,北京冠领律师事务所,北京市西城区宣武门外大街6号庄胜广场办公楼第一座西翼1316,五险一金;带薪年假,8千-1.2万/月,"【岗位职责】1.负责网站前端制作(包括pc端和手机端)；熟练开发制作流程，精通Div，css3，html5，javascript，jquery等进行web网站开发制作；2.CMS系统二次开发（DEDECMS、PHPCMS等CMS系统）；微信小程序开发; 熟悉MySQL数据库，并了解数据库原理；3.负责网站后台程序设计开发，能独立完成整个网站后台开发工作，并不断改进；4.负责服务器网站相关的内容(网站环境搭建包含windows环境、服务器安全等)；域名解析等;【任职要求】1.熟练DIV+CSS、HTML5、php程序开发、微信小程序开发者优先；前台制作与后台开发均精通者优先;2.熟悉网站后台操作，阿里云服务器的日常维护工作,域名管理，对网站优化，推广工作有一定了解;3.能够尽快入职，工作细致认真，有责任心；福利待遇：1.办公环境舒适，福利待遇齐全，职位发展空间大2.入职即购买五险一金，9:00—17:30，中午12.00—1：30休息3.丰富的集体活动
                ",https://m.zhaopin.com//jobs/67940842000085164013/
Php工程师,北京食迅网络科技有限公司,北京市丰台区西四环中路128号食迅网,五险一金;包住;带薪年假;节日福利,1万-2万/月,"岗位要求：1、 根据开发要求，负责网站相关技术后台开发工作；2、 公司服务器的日常维护；3、 部门领导安排的其他工作。技能要求：1、 熟练掌握lnmp和wamp开发环境；5年以上相关经验（必须有独立开发的经验！！有过管理经验的优先考虑）2、 能够使用原生php代码和常见的开源框架进行敏捷开发；3、 具备OOP编程思想，至少掌握一种MVC开发框架，并有能力快速学习其他开发框架，如CodeIgniter、YII、Laravel、Zend Framework等；4、 熟悉常用数据库，至少精通其中一种数据库；5、 对数据库构架有深入的了解，能够熟练的进行数据组织；6、 熟悉Web调试工具，对前端技术有一定了解，熟悉JS常用开发框架和原生JS者优先；7、 对WEB服务器、数据库优化有了解者优先；8、 具备良好的沟通合作技巧，较强的责任心及团队合作精神；任职资格:1、 理工科大专（逻辑思维能力强者可放宽学历要求）以上学历； 2、 热爱软件开发事业，对每一项研发任务能够主动承担并保质保量的完成； 3、 有良好的沟通能力和学习能力；4、 对新产品、新事物、新环境有很强的认知和融入能力； 5、 为人正直、坦诚，积极热情，有较强的学习和沟通能力，有敬业精神和团队合作精神。面试要求：自带电脑、开发环境展示开发案例。面试时，会对开发源码进行现场问答。任职机会： 1、 行业领先的生鲜平台，给你充分的机会与成长。2、 未来丰厚的期权激励方案。3、 可提供员工宿舍。4、 节日福利、双休，法定假日。5、 多元性的职业发展路线，巨大的职业发展空间，给您更多可能。 加入我们公司，您将获得完美的工作经验，为您未来的职业生涯发展写下浓墨重彩的篇章。
                ",https://m.zhaopin.com//jobs/291918782250127/
高级php开发工程师,北京中奥通宇科贸有限公司,亦庄开发区亦城国际B座6层,绩效奖金;带薪年假;定期体检;员工旅游;节日福利;五险一金;周末双休,2万-3万/月,,https://m.zhaopin.com//jobs/14668661300108152009/
PHP,北京金征远出入境服务有限公司,北京市朝阳区建国门外大街丙24号京泰大厦1903室,绩效奖金;加班补助;全勤奖;餐补;带薪年假;员工旅游;节日福利,6千-8千/月,"【岗位职责】1.负责公司各类服务器的维护及管理工作，保障设备正常运行(CRM服务器,呼叫中心服务器,网站服务器,NAS服务器等)。2.负责公司网站评估系统的维护及管理工作，完成月度评估系统资源量指标(完成主管安排的网站修改需求,修改网站中日常出现的问题)。3.负责公司CRM系统维护及管理工作，保障CRM系统正常运转，并加入公司要求的新模块功能，配合其他部门的要求完成。4.负责公司网站技术维护及开发工作。5.公司网站，手机站，论坛等的后台搭建工作。【任职要求】1.精通MVC开发，精通ThinkPHP框架的相关开发，Smarty模板引擎。2.熟练掌握基于MySQL的数据库查询及优化；并有一定的实际项目和性能优化经验。3.能够独立解决前端问题，熟悉HTML、css3、div+css、JS、Jquery、Ajax等技术的使用。
                ",https://m.zhaopin.com//jobs/140412000250687/
高级php工程师,北京望远传媒有限公司,北京市海淀区知春路7号致真大厦D座17层,创业公司;五险一金;周末双休;每年多次调薪;带薪年假,1.5万-2万/月,"岗位职责：1、主导平台的设计、研发工作；2、及时对程序性能、架构、用户体验进行持续性优化；3、与产品经理沟通需求，进行技术文档编写，方案设计和代码开发；4、部署技术研发工作，与其他部门协调进度，督导工作的进展和质量.；5、参与重点难点的攻坚，参与或指导下属团队做出技术创新.；6、负责下属员工考评培训及技术能力提升；任职要求：1、本科以上学历，5年以上PHP开发经验；2、熟练掌握常用PHP框架和扩展，yii2等；3、熟练使用MySQL、Redis等，熟练MySQL数据库设计、管理和优化；4、熟悉TCP/IP、HTTP等网络协议，熟悉Linux开发环境和Shell脚本；5、熟悉常用的开源组件（Redis、MySQL、MongoDB、RabbitMQ）并了解其特性和应用场景6、具备良好的代码编程习惯;7、人品佳、进取心强，有团队合作精神，有沟通、协调能力。
                ",https://m.zhaopin.com//jobs/29040303200052362914/
PHP开发工程师,北京卡车之家信息技术股份有限公司,朝阳区高碑店东亿国际传媒产业园三期C座9层,,1.2万-1.6万/月,"
                ",https://m.zhaopin.com//jobs/22632961100046207810/
PHP工程师,北京卡车之家信息技术股份有限公司,朝阳区高碑店东亿国际传媒产业园三期C座9层,节日福利;周末双休;五险一金;年底双薪;全勤奖;带薪年假;每年多次调薪,1.5万-2万/月,"岗位职责：1、参与网站平台，后端管理系统，商城等各业务平台开发工作；2、和产品沟通产品需求，配合前端，快速迭代业务及接口开发；3、参与项目的研发工作，结合业务特点，提供面向服务的整体优化方案；4、能够独立完成系统模块开发。任职要求：1、大学统招本科或以上计算机相关专业，三年以上php开发工作及项目经验；2、精通php主流开发框架，如：YII2.0、Laravel 5.6、CI等；3、熟悉使用mysql数据库，熟悉常见优化方法；4、熟悉ES、Redis、消息队列、MongoDB、memcache、Linux操作系统；5、熟悉掌握node.js 语言。并可独立完成非复杂性交互；6、熟悉Nginx的配置和使用；7、沟通能力强，乐于分享，良好的团队合作精神；8、有高负载、高并发，高可用，分布式，大流量的集群系统项目经验优先。
                ",https://m.zhaopin.com//jobs/22632961100051678210/
php开发工程师,北京爱问科技有限公司,北京市朝阳区九龙山,五险一金;定期体检;节日福利;带薪年假;创业公司,5千-1万/月,"岗位职责：1、参与互联网系统平台项目的研发工作；2、参与需求分析，根据具体的模块需求，独立完成模块的设计编码工作；3、负责开发模块的PHP代码编写；4、负责系统需求分析与设计，接口规范制定，架构设计以及开发文档的编写。职位要求：1、2年左右的PHP开发经验，有高负载、大并发的开发经验；2、具有扎实的HTML5、CSS3、JAVASCRIPT基础；3、具有MySQL索引优化、查询优化和存储优化经验；4、具有良好的PHP基础，熟悉ThinkPHP5.0，laravel开源框架优先考虑；5、具有PHP缓存方面经验，熟悉Redis缓存系统优先；6、有电商平台开发经验者优先，计算机专业优先；7、精通PHPUnit者优先。
                ",https://m.zhaopin.com//jobs/cz288228830j00031435714/
PHP开发工程师,北京悦优博迈科技有限公司,北京市海淀区中关村创业大街4号楼C座3层,五险一金;绩效奖金;股票期权;带薪年假;节日福利;周末双休,9千-1.8万/月,"岗位职责：1. Restful Server开发。2. Drupal框架下的功能模块开发。3. WEB性能优化。岗位要求：1. 精通PHP开发，至少2年以上PHP项目开发经验。2. 有Drupal项目开发经验或愿意学习Drupal开发。3. 熟悉Ajax/JQuery，熟悉web service相关标准。4. 能够熟练阅读英文文档。5. 挑战性，跨领域，团队协作。
                ",https://m.zhaopin.com//jobs/509048125250353/
